Gestor de red;Provincia;Municipio;Coordenada UTM X [1];Coordenada UTM Y [1];Subestación;Nivel de tensión (kV);Capacidad firme disponible (MW) [2];Capacidad comprometida por cuestiones regulatorias;Capacidad de acceso firme de demanda ocupada (MW) [3];Capacidad firme admitida y no evaluada (MW) [4];Posiciones ocupadas;Posiciones libres;Nudo 0*;Comentarios;Nombre Subestación;Matrícula Sub.;Nudo Afección RdT
R1-002;A Coruña;A Coruña;62446,17;4813073,95;2920200082;15;10,98;0;66,69;0;;;0;;EIRIS;EIR;EIRIS 220
R1-002;A Coruña;A Coruña;62270,7;4815730,82;PUR;15;0;0;93,39;0;;;0;;EL PUERTO;EPU;PUERTO 220
R1-002;A Coruña;A Coruña;59908,54;4813203,12;GRE;15;3,24;0;173,58;2,84;;;0;;LA GRELA 2;GRN;GRELA 220
R1-002;A Coruña;A Coruña;59618,82;4816233,16;2920200081;15;0;0;68,39;0;;;0;;SAN PEDRO DE VISMA;SPV;SABÓN 220
R1-002;A Coruña;A Coruña;59618,82;4816233,16;2920200081;66;0;0;0;0;;;0;;SAN PEDRO DE VISMA;SPV;SABÓN 220
R1-002;A Coruña;A Laracha;47049,94;4803791,01;2920200090;15;0;0;23,12;0;;;0;;LARACHA;LAR;SABÓN 220
R1-002;A Coruña;A Laracha;47049,94;4803791,01;2920200090;20;0;0;12,23;0;;;0;;LARACHA;LAR;SABÓN 220
R1-002;A Coruña;A Laracha;47049,94;4803791,01;2920200090;66;0;0;0;0;;;0;;LARACHA;LAR;SABÓN 220
R1-002;A Coruña;Arteixo;54888,92;4808686,85;2920420308;15;0;0;25,56;0;;;0;;MORAS;MOR;SABÓN 220
R1-002;A Coruña;Arteixo;54888,92;4808686,85;2920420308;66;0;0;0;0;;;0;;MORAS;MOR;SABÓN 220
R1-002;A Coruña;Arteixo;53998,65;4811999,49;SBO;15;0;0;35,43;0,28;;;0;;SABON;SBN;SABÓN 220
R1-002;A Coruña;Arteixo;53998,65;4811999,49;SBO;66;0;0;7;0;;;0;;SABON;SBN;SABÓN 220
R1-002;A Coruña;Arteixo;53998,65;4811999,49;SBO;132;0;0;13,72;0;;;0;;SABON;SBN;SABÓN 220
R1-002;A Coruña;As Pontes de García Rodríguez;107113,25;4820443,59;2920200070;20;0;0;26,3;0;;;0;;MOURELA;MOL;PUENTES GARCIA RODRIGUEZ 400
R1-002;A Coruña;As Pontes de García Rodríguez;107113,25;4820443,59;2920200070;132;0;0;0;0;;;0;;MOURELA;MOL;PUENTES GARCIA RODRIGUEZ 400
R1-002;A Coruña;As Somozas;102251,64;4832385,96;2920420095;20;0;0;6,81;0;;;0;;SOMOZAS;SOM;PUENTES GARCIA RODRIGUEZ 400
R1-002;A Coruña;As Somozas;102251,64;4832385,96;2920420095;132;0;0;0;0;;;0;;SOMOZAS;SOM;PUENTES GARCIA RODRIGUEZ 400
