date,monthly_ev_registrations_forecast
2024-01-01,12561
2024-02-01,13181
2024-03-01,15262
2024-04-01,12763
2024-05-01,14952
2024-06-01,15890
2024-07-01,15884
2024-08-01,12773
2024-09-01,15962
2024-10-01,17114
2024-11-01,17741
2024-12-01,18473
2025-01-01,16114
2025-02-01,16840
2025-03-01,19160
2025-04-01,16380
2025-05-01,18822
2025-06-01,19853
2025-07-01,19847
2025-08-01,16393
2025-09-01,19932
2025-10-01,21189
2025-11-01,21869
2025-12-01,22658
2026-01-01,20099
2026-02-01,20891
2026-03-01,23396
2026-04-01,20390
2026-05-01,23033
2026-06-01,24137
2026-07-01,24130
2026-08-01,20404
2026-09-01,24221
2026-10-01,25556
2026-11-01,26274
2026-12-01,27104
2027-01-01,24399
2027-02-01,25240
2027-03-01,27877
2027-04-01,24709
2027-05-01,27498
2027-06-01,28650
2027-07-01,28643
2027-08-01,24723
2027-09-01,28738
2027-10-01,30123
2027-11-01,30864
2027-12-01,31718
