date,ev_registrations,type
2015-01-01,489,actual
2015-04-01,561,actual
2015-07-01,747,actual
2015-10-01,1069,actual
2016-01-01,1334,actual
2016-04-01,1571,actual
2016-07-01,1127,actual
2016-10-01,1763,actual
2017-01-01,1596,actual
2017-04-01,2529,actual
2017-07-01,3595,actual
2017-10-01,4973,actual
2018-01-01,4722,actual
2018-04-01,5124,actual
2018-07-01,4739,actual
2018-10-01,7260,actual
2019-01-01,7119,actual
2019-04-01,7953,actual
2019-07-01,7069,actual
2019-10-01,10037,actual
2020-01-01,11583,actual
2020-04-01,6890,actual
2020-07-01,14413,actual
2020-10-01,23652,actual
2021-01-01,13639,actual
2021-04-01,23043,actual
2021-07-01,20247,actual
2021-10-01,26961,actual
2022-01-01,23226,actual
2022-04-01,25725,actual
2022-07-01,22795,actual
2022-10-01,28905,actual
2023-01-01,32076,actual
2023-04-01,37860,actual
2023-07-01,30701,actual
2023-10-01,43106,actual
2024-01-01,41004,forecast
2024-04-01,43605,forecast
2024-07-01,44619,forecast
2024-10-01,53328,forecast
2025-01-01,52114,forecast
2025-04-01,55055,forecast
2025-07-01,56172,forecast
2025-10-01,65716,forecast
2026-01-01,64386,forecast
2026-04-01,67560,forecast
2026-07-01,68755,forecast
2026-10-01,78934,forecast
2027-01-01,77516,forecast
2027-04-01,80857,forecast
2027-07-01,82104,forecast
2027-10-01,92705,forecast
