location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,distributor_network,estimated_demand_kw,composite_score,site_name,category
IBE_001,40.397195,-3.772053,M-502,10,Sufficient,i-DE,1500,0.7542,EXD,motorway_services
IBE_002,41.370678,2.09003,N-340,10,Sufficient,Endesa,1500,0.6057,,petrol_station
IBE_003,39.153166,-0.528185,A-7,10,Sufficient,i-DE,1500,0.5672,,motorway_services
IBE_004,40.290222,-3.299778,A-3,2,Congested,i-DE,300,0.5287,Moeve,petrol_station
IBE_005,37.372725,-5.921735,A-8028,8,Sufficient,Endesa,1200,0.5238,,motorway_services
IBE_006,37.717639,-1.415639,A-7,8,Sufficient,i-DE,1200,0.5209,Repsol,petrol_station
IBE_007,38.39051,-0.505658,A-70,9,Sufficient,i-DE,1350,0.5144,Estación de Servicio Sol y Luz,petrol_station
IBE_008,41.64806,2.427255,AP-7N,2,Congested,Endesa,300,0.4855,Montseny,motorway_services
IBE_009,38.077179,-0.745131,AP-7N,7,Sufficient,i-DE,1050,0.4698,Benijovar Express,petrol_station
IBE_010,41.105417,1.197528,N-340,5,Sufficient,Viesgo,750,0.4609,Shell,petrol_station
IBE_011,43.487833,-6.110667,A-8,6,Sufficient,Viesgo,900,0.4589,Galp,petrol_station
IBE_012,37.94053,-4.681002,N-4A,4,Sufficient,Endesa,600,0.4565,,motorway_services
IBE_013,38.729681,-0.938202,A-31,6,Sufficient,i-DE,900,0.4494,,motorway_services
IBE_014,37.474755,-1.779576,A-7,7,Sufficient,i-DE,1050,0.4458,Almendricos,train_station
IBE_015,43.215701,-7.309026,N-640,3,Sufficient,Viesgo,450,0.4455,Estación de Servizo Granxeiro,petrol_station
IBE_016,39.596723,-0.468073,A-7,2,Congested,i-DE,300,0.4454,CENTRE LA VEREDA,petrol_station
IBE_017,42.002011,2.292225,N-152Z,5,Sufficient,Endesa,750,0.4398,Esclat,supermarket
IBE_018,42.116596,-1.738241,AP-68,6,Sufficient,i-DE,900,0.4321,,motorway_services
IBE_019,37.596373,-0.965912,N-332,4,Sufficient,i-DE,600,0.4236,,motorway_services
IBE_020,41.638161,-4.746725,N-601,4,Sufficient,i-DE,600,0.4229,Estación de Servicio La Esmeralda,petrol_station
IBE_021,36.456317,-6.218776,A-4,2,Congested,Endesa,300,0.4193,Moeve,petrol_station
IBE_022,43.674314,-7.4211,N-642,3,Sufficient,Viesgo,450,0.4162,Repsol,petrol_station
IBE_023,37.264851,-6.838579,A-49,2,Congested,Endesa,300,0.4139,Repsol,petrol_station
IBE_024,42.513788,2.853668,AP-7N,2,Congested,Endesa,300,0.4085,Le Relais des Chartreuses,hotel
IBE_025,41.546368,-5.707888,A-66,5,Sufficient,i-DE,750,0.3983,,motorway_services
IBE_026,43.384392,-8.394669,AP-9,2,Congested,i-DE,300,0.3974,Eurostars Ciudad de A Coruña,hotel
IBE_027,42.39381,-7.190229,N-120,3,Sufficient,i-DE,450,0.395,,rest_area
IBE_028,43.54614,-6.60476,N-634,3,Sufficient,Viesgo,450,0.3893,La Oturense,petrol_station
IBE_029,39.934639,-0.192028,AP-7N,2,Congested,i-DE,300,0.3892,Cooperativa Agrícola Valenciana de Betín a,petrol_station
IBE_030,36.659067,-4.570736,A-7,2,Congested,Endesa,300,0.3874,BP Alhaurín de la Torre,petrol_station
