bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_001,40.290222,-3.299778,A-3,i-DE,900,Moderate
FRIC_002,40.382969,-3.696269,A-4,i-DE,900,Moderate
FRIC_003,40.377522,-3.679835,A-4,i-DE,900,Moderate
FRIC_004,40.405357,-3.625616,M-40,i-DE,900,Moderate
FRIC_005,40.421,-3.68839,M-23,i-DE,900,Moderate
FRIC_006,40.422569,-3.600401,M-40,i-DE,900,Moderate
FRIC_007,40.451012,-3.627159,A-2,i-DE,900,Moderate
FRIC_008,40.463385,-3.658128,A-2,i-DE,900,Moderate
FRIC_009,40.416018,-3.619159,M-23,i-DE,900,Moderate
FRIC_010,40.415788,-3.619448,M-23,i-DE,900,Moderate
FRIC_011,40.451582,-3.675998,A-2,i-DE,900,Moderate
FRIC_012,40.446972,-3.651972,A-2,i-DE,900,Moderate
FRIC_013,40.447577,-3.665966,A-2,i-DE,900,Moderate
FRIC_014,40.386685,-3.664013,A-3,i-DE,900,Moderate
FRIC_015,40.457304,-3.677787,A-2,i-DE,900,Moderate
FRIC_016,40.472698,-3.67533,A-1,i-DE,900,Moderate
FRIC_017,40.390219,-3.671302,A-3,i-DE,900,Moderate
FRIC_018,40.358795,-3.696217,M-40,i-DE,900,Moderate
FRIC_019,40.46379,-3.675627,A-1,i-DE,900,Moderate
FRIC_020,40.327922,-3.6919,M-45,i-DE,900,Moderate
FRIC_021,40.394544,-3.661652,A-3,i-DE,900,Moderate
FRIC_022,40.311267,-3.6995,A-4,i-DE,900,Moderate
FRIC_023,40.392172,-3.625052,A-3,i-DE,900,Moderate
FRIC_024,40.445165,-3.684894,A-2,i-DE,900,Moderate
FRIC_025,40.459147,-3.681266,A-2,i-DE,900,Moderate
FRIC_026,40.457324,-3.658296,A-2,i-DE,900,Moderate
FRIC_027,40.458875,-3.667289,A-2,i-DE,900,Moderate
FRIC_028,40.394694,-3.677378,A-3,i-DE,900,Moderate
FRIC_029,40.451478,-3.682186,A-2,i-DE,900,Moderate
FRIC_030,40.394589,-3.677329,A-4,i-DE,900,Moderate
FRIC_031,40.379344,-3.665651,M-40,i-DE,900,Moderate
FRIC_032,40.30943,-3.701229,M-406,i-DE,900,Moderate
FRIC_033,40.477402,-3.691158,M-607,i-DE,900,Moderate
FRIC_034,40.390999,-3.625368,A-3,i-DE,900,Moderate
FRIC_035,40.377476,-3.695853,A-4,i-DE,900,Moderate
FRIC_036,40.42921,-3.694198,A-5,i-DE,900,Moderate
FRIC_037,40.375924,-3.63919,M-40,i-DE,900,Moderate
FRIC_038,40.391522,-3.676636,A-4,i-DE,900,Moderate
FRIC_039,40.404663,-3.673285,A-3,i-DE,900,Moderate
FRIC_040,40.443609,-3.678296,A-2,i-DE,900,Moderate
FRIC_041,40.438347,-3.678772,A-2,i-DE,900,Moderate
FRIC_042,40.46654,-3.68552,M-607,i-DE,900,Moderate
FRIC_043,40.424912,-3.682912,M-23,i-DE,900,Moderate
FRIC_044,40.393874,-3.65481,A-3,i-DE,900,Moderate
FRIC_045,40.4479,-3.679591,A-2,i-DE,900,Moderate
FRIC_046,40.368306,-3.644952,M-31,i-DE,900,Moderate
FRIC_047,40.374189,-3.636433,M-40,i-DE,900,Moderate
FRIC_048,40.366221,-3.694514,M-40,i-DE,900,Moderate
FRIC_049,40.462196,-3.6384,M-40,i-DE,900,Moderate
FRIC_050,40.366283,-3.65567,M-31,i-DE,900,Moderate
FRIC_051,40.362511,-3.691208,M-40,i-DE,900,Moderate
FRIC_052,40.365749,-3.69259,M-40,i-DE,900,Moderate
FRIC_053,40.367328,-3.69383,M-40,i-DE,900,Moderate
FRIC_054,40.437927,-3.684589,A-2,i-DE,900,Moderate
FRIC_055,40.367593,-3.691213,M-40,i-DE,900,Moderate
